,feature,unique_vals
198,abs_U0_u0.gr232_2.os.table_pos_after_[i_103.0],92052
199,abs_U0_u0.gr242_1.table_pos_after_[i_103.0],168330
200,abs_U0_u0.gg225.cool_roll_[i_103.0],357664
201,abs_U0_u0.speed_mps_[i_103.0],402555
202,abs_U0_u0.torque_[i_103.0],368514
203,abs_U0_u0.current_[i_103.0],349384
204,abs_U0_u0.uf.speed_mps_[i_103.0],382712
205,abs_U0_u0.uf.torque_[i_103.0],361852
206,abs_U0_u0.uf.current_[i_103.0],346118
207,abs_U0_u0.fest.load_hor_roll_[i_103.0],360307
208,TBK_h_[ni],751817
209,TBK_tM_[ni],738591
210,TBK_tF_[ni],769007
211,TBK_fM_[ni],760000
212,TBK_fF_[ni],751519
213,TBK_wF_[ni],770168
214,TBK_IFM_[ni],771697
215,TBK_IFF_[ni],773468
216,TBK_wH_[ni],735950
217,TBK_wHMax_[ni],735434
218,TBK_wWMin_[ni],721329
219,TBK_wW_[ni],719261
220,TBK_asM_[ni],769185
221,TBK_asF_[ni],771823
222,TBK_hM_[ni],767555
223,TBK_hF_[ni],773405
224,TBK_hHM_[ni],766533
225,TBK_hHF_[ni],768456
226,TBK_ccF_[ni],615429
227,TBK_area_[ni],882531
228,TBK_aF_[ni],789596
229,TBK_kgm_[ni],758399
230,TBK_coH_[ni],726853
231,TBK_tMO_[ni],722575
232,TBK_tFO_[ni],752035
233,TBK_tM2_[ni],717482
234,TBK_tF2_[ni],754204
235,TBK_tM3_[ni],726686
236,TBK_tF3_[ni],751189
237,TBK_offF_[ni],736131
238,TBK_offM_[ni],744783
239,TBK_temp. average_[ni]_[0_3]_[max],58
240,TBK_temp. average_[ni]_[0_3]_[min],5
241,TBK_temp. average_[ni]_[0_3]_[median],65
242,TBK_temp. average_[ni]_[0_3]_[mean],478
243,TBK_temp. average_[ni]_[0_3]_[tg],1251
244,TBK_temp. average_[ni]_[0_3]_[std],482
245,TBK_temp. max_[ni]_[0_3]_[max],55
246,TBK_temp. max_[ni]_[0_3]_[min],5
247,TBK_temp. max_[ni]_[0_3]_[median],68
248,TBK_temp. max_[ni]_[0_3]_[mean],478
249,TBK_temp. max_[ni]_[0_3]_[tg],969
250,TBK_temp. max_[ni]_[0_3]_[std],482
251,abs_TBK_h_[ni],751985
252,abs_TBK_tM_[ni],736761
253,abs_TBK_tF_[ni],766427
254,abs_TBK_fM_[ni],763703
255,abs_TBK_fF_[ni],755480
256,abs_TBK_wF_[ni],770378
257,abs_TBK_IFM_[ni],772275
258,abs_TBK_IFF_[ni],773147
259,abs_TBK_wH_[ni],735950
260,abs_TBK_wHMax_[ni],735434
261,abs_TBK_wWMin_[ni],721329
262,abs_TBK_wW_[ni],719256
263,abs_TBK_asM_[ni],768326
264,abs_TBK_asF_[ni],770572
265,abs_TBK_hM_[ni],769801
266,abs_TBK_hF_[ni],774915
267,abs_TBK_hHM_[ni],768338
268,abs_TBK_hHF_[ni],769426
269,abs_TBK_ccF_[ni],615399
270,abs_TBK_area_[ni],882532
271,abs_TBK_aF_[ni],789596
272,abs_TBK_kgm_[ni],758399
273,abs_TBK_coH_[ni],726801
274,abs_TBK_tMO_[ni],722577
275,abs_TBK_tFO_[ni],752145
276,abs_TBK_tM2_[ni],717537
277,abs_TBK_tF2_[ni],752939
278,abs_TBK_tM3_[ni],726796
279,abs_TBK_tF3_[ni],751101
280,abs_TBK_offF_[ni],709550
281,abs_TBK_offM_[ni],719960
282,abs_TBK_temp. average_[ni]_[0_3]_[max],58
283,abs_TBK_temp. average_[ni]_[0_3]_[min],5
284,abs_TBK_temp. average_[ni]_[0_3]_[median],65
285,abs_TBK_temp. average_[ni]_[0_3]_[mean],478
286,abs_TBK_temp. average_[ni]_[0_3]_[tg],1251
287,abs_TBK_temp. average_[ni]_[0_3]_[std],482
288,abs_TBK_temp. max_[ni]_[0_3]_[max],55
289,abs_TBK_temp. max_[ni]_[0_3]_[min],5
290,abs_TBK_temp. max_[ni]_[0_3]_[median],68
